level,requiredCP
1,8
2,32
3,73
4,130
5,203
6,292
7,398
8,520
9,658
10,812
11,983
12,1170
13,1373
14,1592
15,1828
16,2080
17,2348
18,2632
19,2933
20,3250
21,3583
22,3932
23,4298
24,4680
25,5078
26,5492
27,5923
28,6370
29,6833
30,7312
31,7808
32,8320
33,8848
34,9392
35,9953
36,10530
37,11123
38,11732
39,12358
40,13000
41,13763
42,14571
43,15427
44,16333
45,17292
46,18307
47,19382
48,20520
49,21725
50,23001
51,24351
52,25781
53,27295
54,28897
55,30594
56,32390
57,34292
58,36306
59,38438
60,40695
61,43084
62,45614
63,48292
64,51128
65,54130
66,57308
67,60673
68,64235
69,68007
70,72000
71,73815
72,75676
73,77583
74,79539
75,81544
76,83600
77,85707
78,87868
79,90083
80,92354
81,94682
82,97068
83,99515
84,102024
85,104596
86,107233
87,109936
88,112707
89,115548
90,118461
91,121447
92,124509
93,127647
94,130865
95,134164
96,137546
97,141013
98,144568
99,148213
100,151949
101,155779
102,159706
103,163732
104,167859
105,172091
106,176429
107,180876
108,185436
109,190111
110,194903
111,199816
112,204853
113,210017
114,215311
115,220739
116,226304
117,232008
118,237857
119,243853
120,250000
121,256717
122,263615
123,270698
124,277971
125,285440
126,293109
127,300985
128,309072
129,317376
130,325904
131,334660
132,343652
133,352886
134,362367
135,372104
136,382102
137,392368
138,402911
139,413736
140,424853
141,436268
142,447990
143,460027
144,472387
145,485080
146,498113
147,511497
148,525240
149,539353
150,553845
151,568726
152,584007
153,599698
154,615811
155,632357
156,649348
157,666795
158,684711
159,703108
160,722000
161,808640
162,905677
163,1014358
164,1136081
165,1272411
166,1425100
167,1596112
168,1787645
169,2002163
170,2242422
171,2511513
172,2812895
173,3150442
174,3528495
175,3951914
176,4426144
177,4957282
178,5552155
179,6218414
180,6964624
181,7800378
182,8736424
183,9784795
184,10958970
185,12274047
186,13746932
187,15396564
188,17244152
189,19313450
190,21631064
191,24226791
192,27134006
193,30390087
194,34036898
195,38121325
196,42695884
197,47819391
198,53557717
199,59984643
200,67182801
