level,hp
1,88
2,363
3,838
4,1529
5,2450
6,3616
7,5042
8,6742
9,8732
10,11025
11,13808
12,16990
13,20594
14,24642
15,29158
16,34166
17,39688
18,45748
19,52369
20,59574
21,67386
22,75829
23,84925
24,94699
25,105173
26,116370
27,128314
28,141027
29,154534
30,165375
31,181112
32,197809
33,215496
34,234201
35,253952
36,274777
37,296704
38,319763
39,343980
40,369385
41,396005
42,423869
43,453005
44,483442
45,515207
46,548329
47,582836
48,618757
49,656119
50,694952
51,735283
52,777140
53,820552
54,865547
55,912154
56,960400
57,1010314
58,1061924
59,1115259
60,1170346
61,1227214
62,1285892
63,1346407
64,1408788
65,1473063
66,1539260
67,1607407
68,1677534
69,1749668
70,1800750
71,1890375
72,1982880
73,2078310
74,2176710
75,2278125
76,2382600
77,2490180
78,2600910
79,2714835
80,2832000
81,2952450
82,3076230
83,3203385
84,3333960
85,3468000
86,3605550
87,3746655
88,3891360
89,4039710
90,4191750
91,4347525
92,4507080
93,4670460
94,4837710
95,5008875
96,5184000
97,5363130
98,5546310
99,5733585
100,5925000
101,6120600
102,6320430
103,6524535
104,6732960
105,6945750
106,7162950
107,7384605
108,7610760
109,7841460
110,8076750
111,8316675
112,8561280
113,8810610
114,9064710
115,9323625
116,9587400
117,9856080
118,10129710
119,10408335
120,10584000
121,10841844
122,11103836
123,11370011
124,11640401
125,11915039
126,12193959
127,12477193
128,12764774
129,13056737
130,13353113
131,13653935
132,13959238
133,14269053
134,14583414
135,14902355
136,15225907
137,15554105
138,15886981
139,16224568
140,16566900
141,16914009
142,17265929
143,17622693
144,17984333
145,18350883
146,18722376
147,19098845
148,19480322
149,19866842
150,20258438
151,20655141
152,21056986
153,21464005
154,21876231
155,22293698
156,22716439
157,23144487
158,23577874
159,24016634
160,24460800
161,24910405
162,25365482
163,25826064
164,26292185
165,26763877
166,27241173
167,27724106
168,28212710
169,28707018
170,29207063
171,29712877
172,30224494
173,30741946
174,31265268
175,31794492
176,32329651
177,32870778
178,33417907
179,33971070
180,34530300
181,35095631
182,35667095
183,36244726
184,36828557
185,37418620
186,38014950
187,38617578
188,39226538
189,39841864
190,40463588
191,41091742
192,41726362
193,42367478
194,43015125
195,43669336
196,44330143
197,44997580
198,45671680
199,46352475
200,47040000
