레벨별 몬스터 HP 설계용 · 10직업 비크리티컬 1회 공격 데미지
2026-09-11 / 현재 바탕화면 MSW 프로젝트 코드의 정적 계산 / UTF-8 메모장 문서
==========================================================================================
측정 범위와 가정
· Lv10~200, 10레벨 간격. Lv30=1차까지만, Lv70=2차까지만, Lv120=3차까지만 사용.
  다른 구간도 개별 스킬 요구레벨을 적용. 160 이후에도 4차까지만 계산(하이퍼 제외).
· 실제 Maker에서 반복 타격한 실측이 아니라 실행 수식을 옮긴 조건부 이론 평균이다.
· /lv 표준 레벨 곡선: 버프 전 총합 T=7L, 기본 전투력=floor((7L)^2/100).
  장비 잠재 추가데미지 0%, 초보자 공통 무기숙련 등 추가 공격력 0. 레벨만으로 실제 장비 구성은
  정해지지 않으므로 동일한 레벨 기준선을 사용했다. 직업 트레이닝·블레스·전투력 버프는 별도 적용.
· SP: 1차=3×clamp(L-9,0,20), 2차=3×clamp(L-29,0,40),
  3차=3×clamp(L-69,0,50), 4차=3×clamp(L-119,0,40). 차수 사이 SP 이동 없음.
· 배분 가정: 허용된 모든 투자 가능 스킬에 먼저 1포인트(버프·소환 포함), 대표 주력기 마스터,
  피해 관련 버프·강화 우선, 남은 포인트를 다른 스킬에 배분. 한 레벨의 모든 공격은 같은 빌드다.
  각 레벨에서 SP 재분배를 허용한 비교 빌드이며, 레벨업 중 자동으로 그대로 이어지는 육성표는 아니다.
  전 스킬 마스터 가정이 아니다. 상세부에 스킬별 실제 투자 수와 SP 사용량을 모두 적었다.
· 자기 직업·허용 차수의 습득한 버프와 소환은 활성 상태, 콤보·발도술은 해당 투자량의 최대 중첩.
  팔라딘 속성 4종은 동시 중첩 불가: 해당 빌드에서 직접타 배율이 가장 높은 속성 하나를 선택.
  나이트로드 표창 분산 OFF, 해금한 최상위 표창 사용. 섀도어는 후방/연막 조건을 적용.
· 기본 합계=적 한 마리에게 본체 1회 사용+확정 추가타(쉐도우 파트너 포함)의 모든 줄 합.
  확률포함 평균=위 값+파이널어택·암행 기대값. 암행은 적 한 마리만 있는 조건이다.
  합계는 타격별 정수 내림 전 평균이므로 실제 표시값과 작은 차이가 있다. 시전 전투력 내림은 반영.
· 섀도어는 은신 공격이 강제 크리티컬이다. 모든 버프 ON과 비크리 실측을 동시에 충족할 수 없다.
  HP 요약은 은신 해제 후 반복 공격값, 상세에는 은신 ×4에서 크리티컬만 제거한 가상 첫타를 병기.
· 독립 소환수·장판은 켜져 있어도 본체 1회마다 동시에 1타를 때리지 않는다. 별도 피해 단위를 표기.
  다크드래곤 랜덤 버프, 표식·유폭, 리커버리 오로라 안의 특수 연사는 기본 반복값에 합치지 않는다.
· 2/3/5회 HP는 평균 피해×횟수인 설계 참고값이다. 확정 N방 보장, 실제 평균 처치 횟수, DPS가 아니다.
  공격속도·대상 수·크리티컬·소환수 기여가 다르므로 같은 N방이 같은 처치 시간을 뜻하지 않는다.

레벨별 공통 HP 기준표 — 대표 주력기 확정 합계의 10직업 중앙값 사용
Lv | 차수 | 기본CP | 최소~최대 1회 | 중앙값 D | 2D HP | 3D HP | 5D HP | 현재 HP
 10 | 1차 |     49 | 11.88~61.25 | 15.19 | 31 | 46 | 76 | 110
 20 | 1차 |    196 | 237.16~411.60 | 255.07 | 511 | 766 | 1,276 | 595
 30 | 1차 |    441 | 533.61~926.10 | 599.31 | 1,199 | 1,798 | 2,997 | 1,653
 40 | 2차 |    784 | 827.12~3,328.10 | 1,748.32 | 3,497 | 5,245 | 8,742 | 3,693
 50 | 2차 |  1,225 | 1,292.38~5,204.58 | 2,731.75 | 5,464 | 8,196 | 13,659 | 6,949
 60 | 2차 |  1,764 | 1,861.02~7,491.77 | 3,933.72 | 7,868 | 11,802 | 19,669 | 11,703
 70 | 2차 |  2,401 | 2,533.05~10,200.28 | 5,354.23 | 10,709 | 16,063 | 26,772 | 18,007
 80 | 3차 |  3,136 | 5,863.36~19,033.43 | 15,373.51 | 30,748 | 46,121 | 76,868 | 28,320
 90 | 3차 |  3,969 | 7,969.25~26,335.44 | 20,952.34 | 41,905 | 62,858 | 104,762 | 41,917
100 | 3차 |  4,900 | 9,839.20~37,161.60 | 26,759.48 | 53,519 | 80,279 | 133,798 | 59,250
110 | 3차 |  5,929 | 11,904.93~44,963.64 | 32,211.33 | 64,423 | 96,634 | 161,057 | 80,767
120 | 3차 |  7,056 | 14,167.69~53,509.86 | 38,167.97 | 76,336 | 114,504 | 190,840 | 105,840
130 | 4차 |  8,281 | 23,435.23~119,987.55 | 82,899.63 | 165,800 | 248,699 | 414,499 | 133,531
140 | 4차 |  9,604 | 27,179.32~149,340.60 | 106,256.02 | 212,513 | 318,769 | 531,281 | 165,669
150 | 4차 | 11,025 | 31,200.75~171,433.62 | 121,575.78 | 243,152 | 364,728 | 607,879 | 202,584
160 | 4차 | 12,544 | 35,499.52~195,052.32 | 137,653.27 | 275,307 | 412,960 | 688,267 | 244,608
170 | 4차 | 14,161 | 40,075.63~220,196.70 | 154,677.98 | 309,356 | 464,034 | 773,390 | 292,070
180 | 4차 | 15,876 | 44,929.08~246,866.76 | 172,700.62 | 345,402 | 518,102 | 863,504 | 345,303
190 | 4차 | 17,689 | 50,059.87~275,062.50 | 191,713.10 | 383,427 | 575,140 | 958,566 | 404,635
200 | 4차 | 19,600 | 55,468.00~304,774.14 | 211,715.41 | 423,431 | 635,147 | 1,058,578 | 470,400
현재 HP는 MonsterHpTable.csv의 hp를 런타임과 같이 100으로 나눈 값. 실제 테이블은 변경하지 않았다.
중앙값은 열 직업 중 가운데 두 값의 평균이다. 이 표의 공통 HP를 적용하면 직업별 처치 횟수는 달라진다.

직업별 대표 주력기 — 본체 반복 공격 기준
비숍 3차는 홀리 에로우, 썬콜 3차는 콜드빔, 불독 3차는 파이어에로우, 신궁 4차는 스트레이프를
대표로 유지한다. 샤이닝 레이·광역 마법·충전기 등은 아래 모든 공격기 상세에서 따로 비교한다.

[01. 히어로]
Lv | 차수 | 버프CP | 주력기(스킬Lv) | 확정 평균합 | 확률포함 평균 | 2회HP / 3회HP / 5회HP | 현재HP÷확정평균
 10 | 1차 | 49 | 파워스트라이크(3) | 61.25 | 61.25 | 123 / 184 / 307 | 1.80
 20 | 1차 | 196 | 파워스트라이크(20) | 411.60 | 411.60 | 824 / 1,235 / 2,058 | 1.45
 30 | 1차 | 441 | 파워스트라이크(20) | 926.10 | 926.10 | 1,853 / 2,779 / 4,631 | 1.78
 40 | 2차 | 940 | 파워스트라이크(20) | 1,974.00 | 2,702.83 | 3,948 / 5,922 / 9,870 | 1.87
 50 | 2차 | 1,470 | 파워스트라이크(20) | 3,087.00 | 4,977.79 | 6,174 / 9,261 / 15,435 | 2.25
 60 | 2차 | 2,116 | 파워스트라이크(20) | 4,443.60 | 7,165.31 | 8,888 / 13,331 / 22,218 | 2.63
 70 | 2차 | 2,881 | 파워스트라이크(20) | 6,050.10 | 9,755.79 | 12,101 / 18,151 / 30,251 | 2.98
 80 | 3차 | 3,951 | 파워스트라이크(20) | 13,038.30 | 21,024.26 | 26,077 / 39,115 / 65,192 | 2.17
 90 | 3차 | 5,477 | 파워스트라이크(20) | 18,074.10 | 29,144.49 | 36,149 / 54,223 / 90,371 | 2.32
100 | 3차 | 7,056 | 파워스트라이크(20) | 23,284.80 | 37,546.74 | 46,570 / 69,855 / 116,424 | 2.54
110 | 3차 | 8,537 | 파워스트라이크(20) | 28,172.10 | 45,427.51 | 56,345 / 84,517 / 140,861 | 2.87
120 | 3차 | 10,160 | 파워스트라이크(20) | 33,528.00 | 54,063.90 | 67,056 / 100,584 / 167,640 | 3.16
130 | 4차 | 11,924 | 브랜디쉬(30) | 116,616.72 | 140,425.97 | 233,234 / 349,851 / 583,084 | 1.15
140 | 4차 | 15,270 | 브랜디쉬(30) | 149,340.60 | 179,830.97 | 298,682 / 448,022 / 746,703 | 1.11
150 | 4차 | 17,529 | 브랜디쉬(30) | 171,433.62 | 206,434.65 | 342,868 / 514,301 / 857,169 | 1.18
160 | 4차 | 19,944 | 브랜디쉬(30) | 195,052.32 | 234,875.50 | 390,105 / 585,157 / 975,262 | 1.25
170 | 4차 | 22,515 | 브랜디쉬(30) | 220,196.70 | 265,153.53 | 440,394 / 660,591 / 1,100,984 | 1.33
180 | 4차 | 25,242 | 브랜디쉬(30) | 246,866.76 | 297,268.72 | 493,734 / 740,601 / 1,234,334 | 1.40
190 | 4차 | 28,125 | 브랜디쉬(30) | 275,062.50 | 331,221.09 | 550,125 / 825,188 / 1,375,313 | 1.47
200 | 4차 | 31,163 | 브랜디쉬(30) | 304,774.14 | 366,998.86 | 609,549 / 914,323 / 1,523,871 | 1.54

[02. 팔라딘]
Lv | 차수 | 버프CP | 주력기(스킬Lv) | 확정 평균합 | 확률포함 평균 | 2회HP / 3회HP / 5회HP | 현재HP÷확정평균
 10 | 1차 | 49 | 파워스트라이크(3) | 61.25 | 61.25 | 123 / 184 / 307 | 1.80
 20 | 1차 | 196 | 파워스트라이크(20) | 411.60 | 411.60 | 824 / 1,235 / 2,058 | 1.45
 30 | 1차 | 441 | 파워스트라이크(20) | 926.10 | 926.10 | 1,853 / 2,779 / 4,631 | 1.78
 40 | 2차 | 784 | 파워스트라이크(20) | 1,646.40 | 2,654.82 | 3,293 / 4,940 / 8,232 | 2.24
 50 | 2차 | 1,225 | 파워스트라이크(20) | 2,572.50 | 4,148.16 | 5,145 / 7,718 / 12,863 | 2.70
 60 | 2차 | 1,764 | 파워스트라이크(20) | 3,704.40 | 5,973.35 | 7,409 / 11,114 / 18,522 | 3.16
 70 | 2차 | 2,401 | 파워스트라이크(20) | 5,042.10 | 8,130.39 | 10,085 / 15,127 / 25,211 | 3.57
 80 | 3차 | 3,136 | 차지 블로우(20) | 18,429.12 | 29,716.96 | 36,859 / 55,288 / 92,146 | 1.54
 90 | 3차 | 3,969 | 차지 블로우(20) | 26,335.44 | 42,465.90 | 52,671 / 79,007 / 131,678 | 1.59
100 | 3차 | 4,900 | 차지 블로우(20) | 37,161.60 | 59,923.08 | 74,324 / 111,485 / 185,808 | 1.59
110 | 3차 | 5,929 | 차지 블로우(20) | 44,963.64 | 72,503.87 | 89,928 / 134,891 / 224,819 | 1.80
120 | 3차 | 7,056 | 차지 블로우(20) | 53,509.86 | 86,284.65 | 107,020 / 160,530 / 267,550 | 1.98
130 | 4차 | 8,281 | 차지 블로우(20) | 78,699.06 | 126,902.23 | 157,399 / 236,098 / 393,496 | 1.70
140 | 4차 | 9,604 | 차지 블로우(20) | 91,274.04 | 147,179.39 | 182,549 / 273,823 / 456,371 | 1.82
150 | 4차 | 11,025 | 차지 블로우(20) | 104,781.60 | 168,960.33 | 209,564 / 314,345 / 523,908 | 1.93
160 | 4차 | 12,544 | 차지 블로우(20) | 119,215.80 | 192,235.48 | 238,432 / 357,648 / 596,079 | 2.05
170 | 4차 | 14,161 | 차지 블로우(20) | 134,582.58 | 217,014.41 | 269,166 / 403,748 / 672,913 | 2.17
180 | 4차 | 15,876 | 차지 블로우(20) | 150,881.94 | 243,297.13 | 301,764 / 452,646 / 754,410 | 2.29
190 | 4차 | 17,689 | 차지 블로우(20) | 168,113.88 | 271,083.63 | 336,228 / 504,342 / 840,570 | 2.41
200 | 4차 | 19,600 | 차지 블로우(20) | 186,278.40 | 300,373.92 | 372,557 / 558,836 / 931,392 | 2.53

[03. 다크나이트]
Lv | 차수 | 버프CP | 주력기(스킬Lv) | 확정 평균합 | 확률포함 평균 | 2회HP / 3회HP / 5회HP | 현재HP÷확정평균
 10 | 1차 | 49 | 파워스트라이크(3) | 61.25 | 61.25 | 123 / 184 / 307 | 1.80
 20 | 1차 | 196 | 파워스트라이크(20) | 411.60 | 411.60 | 824 / 1,235 / 2,058 | 1.45
 30 | 1차 | 441 | 파워스트라이크(20) | 926.10 | 926.10 | 1,853 / 2,779 / 4,631 | 1.78
 40 | 2차 | 784 | 파워스트라이크(20) | 1,646.40 | 2,654.82 | 3,293 / 4,940 / 8,232 | 2.24
 50 | 2차 | 1,225 | 파워스트라이크(20) | 2,572.50 | 4,148.16 | 5,145 / 7,718 / 12,863 | 2.70
